DATE,USAUCSFRCONDOSMSAMID
2004-01-01,163387.98849047357
2004-02-01,164448.8668535331
2004-03-01,165619.28572062138
2004-04-01,166927.71562369834
2004-05-01,168401.06789796657
2004-06-01,170005.60781752315
2004-07-01,171734.649573283
2004-08-01,173488.56650555972
2004-09-01,175220.27337800033
2004-10-01,176879.74266068582
2004-11-01,178437.2772895821
2004-12-01,179971.75503222432
2005-01-01,181456.4748580406
2005-02-01,182971.2837827007
2005-03-01,184533.9144554139
2005-04-01,186294.28019304198
2005-05-01,188164.30305787394
2005-06-01,190122.9786224258
2005-07-01,192096.25226782984
2005-08-01,194092.2165749208
2005-09-01,196055.06819522704
2005-10-01,197914.16198015446
2005-11-01,199611.31861552908
2005-12-01,201144.78930900223
2006-01-01,202457.96282876577
2006-02-01,203677.50951224938
2006-03-01,204905.84326493042
2006-04-01,206225.65663327902
2006-05-01,207528.31248464293
2006-06-01,208677.24365073477
2006-07-01,209577.4208030672
2006-08-01,210269.96740496624
2006-09-01,210723.43545655604
2006-10-01,211043.67235209778
2006-11-01,211211.49932432035
2006-12-01,211312.77009659164
2007-01-01,211350.2078893444
2007-02-01,211390.06022469894
2007-03-01,211418.81505305564
2007-04-01,211448.09251653333
2007-05-01,211354.7921314359
2007-06-01,211086.72443825274
2007-07-01,210588.7442729423
2007-08-01,210000.5887249608
2007-09-01,209298.110124702
2007-10-01,208543.58593745696
2007-11-01,207637.80805556205
2007-12-01,206682.07010316252
2008-01-01,205585.50324503364
2008-02-01,204377.641746043
2008-03-01,203019.6494998609
2008-04-01,201553.69625092042
2008-05-01,200029.1116958697
2008-06-01,198425.58004407457
2008-07-01,196719.1617374618
2008-08-01,194826.8321712466
2008-09-01,192912.08429614664
2008-10-01,191043.12466377195
2008-11-01,189214.26162447606
2008-12-01,187401.7056664178
2009-01-01,185633.37716219478
2009-02-01,184125.57054537605
2009-03-01,182742.74748481272
2009-04-01,181439.54744047797
2009-05-01,180121.86755771982
2009-06-01,178880.65260414997
2009-07-01,177756.5075725017
2009-08-01,176716.66062344145
2009-09-01,175761.25639516907
2009-10-01,174980.66635670434
2009-11-01,174540.0400042756
2009-12-01,174342.51446031337
2010-01-01,174278.16484104053
2010-02-01,174207.70634654418
2010-03-01,174204.19211768717
2010-04-01,174308.91861612655
2010-05-01,174369.49151585798
2010-06-01,174225.68599199757
2010-07-01,173681.44007960905
2010-08-01,172877.3837276107
2010-09-01,171880.64329240457
2010-10-01,170850.2580160949
2010-11-01,169804.21046209557
2010-12-01,168830.73168328273
2011-01-01,167929.17245065895
2011-02-01,167094.017505868
2011-03-01,166298.72870894123
2011-04-01,165466.91730209987
2011-05-01,164590.61564976553
2011-06-01,163732.02378726486
2011-07-01,163008.09173675804
2011-08-01,162399.822696497
2011-09-01,161877.8409665432
2011-10-01,161364.36296753376
2011-11-01,160927.78208298705
2011-12-01,160548.51334946885
2012-01-01,160317.20726754796
2012-02-01,160298.45091321896
2012-03-01,160511.4994378971
2012-04-01,160875.1164623749
2012-05-01,161320.41191487593
2012-06-01,161853.51006912757
2012-07-01,162435.28220175995
2012-08-01,162934.05491059984
2012-09-01,163503.7423587914
2012-10-01,164119.40497951888
2012-11-01,164854.90050656395
2012-12-01,165624.42736861377
2013-01-01,166507.19530778428
2013-02-01,167455.51630969316
2013-03-01,168445.18121892368
2013-04-01,169522.19500727288
2013-05-01,170781.03557848698
2013-06-01,172179.32028970055
2013-07-01,173447.23728232758
2013-08-01,174683.12295785834
2013-09-01,175811.44287816176
2013-10-01,177062.747110283
2013-11-01,178086.80765860528
2013-12-01,179024.26369853318
2014-01-01,179842.28942411425
2014-02-01,180715.1678858728
2014-03-01,181596.2109110067
2014-04-01,182480.60070463814
2014-05-01,183490.68095287276
2014-06-01,184386.12389283485
2014-07-01,185265.6272333248
2014-08-01,185939.02790455587
2014-09-01,186570.11262964868
2014-10-01,186986.25933371345
2014-11-01,187529.54605229502
2014-12-01,188193.99108812775
2015-01-01,189012.07438817466
2015-02-01,189826.36921939137
2015-03-01,190653.69662396322
2015-04-01,191558.31249329026
2015-05-01,192556.25069249212
2015-06-01,193514.64179273145
2015-07-01,194504.94034038784
2015-08-01,195543.61777576257
2015-09-01,196692.15375957196
2015-10-01,197899.23552177692
2015-11-01,198983.4547374083
2015-12-01,200062.3327315516
2016-01-01,201225.0333834904
2016-02-01,202382.30258582858
2016-03-01,203243.39612685386
2016-04-01,204030.7049048961
2016-05-01,204821.85556682662
2016-06-01,205785.55128402868
2016-07-01,206518.95411052843
2016-08-01,207208.48646563303
2016-09-01,207964.77678287806
2016-10-01,208917.75304626676
2016-11-01,209972.87094767764
2016-12-01,211087.10646183425
2017-01-01,212202.79116988488
2017-02-01,213370.49682813886
2017-03-01,214572.78066987006
2017-04-01,215879.12092234218
2017-05-01,217041.6889687395
2017-06-01,218131.2005126595
2017-07-01,219060.1221300173
2017-08-01,220012.0853745774
2017-09-01,221003.21420092045
2017-10-01,222134.3043305834
2017-11-01,223353.30376170273
2017-12-01,224629.00833767198
2018-01-01,225891.07340303427
2018-02-01,227116.55009659825
2018-03-01,228534.13545333562
2018-04-01,229824.9015830295
2018-05-01,231078.7903925696
2018-06-01,231988.66320692573
2018-07-01,233141.2306408273
2018-08-01,234246.51043168316
2018-09-01,235365.02149482013
2018-10-01,236134.14173122644
2018-11-01,236907.15074555358
2018-12-01,237733.26295077338
2019-01-01,238729.7565026402
2019-02-01,239886.28115831906
2019-03-01,241108.35844787545
2019-04-01,242198.3284735727
2019-05-01,243010.93251549845
2019-06-01,243725.01793202266
2019-07-01,244382.46920749848
2019-08-01,245105.09250844433
2019-09-01,245741.5891293574
2019-10-01,246628.1337187425
2019-11-01,247834.65461381755
2019-12-01,249253.36664701902
2020-01-01,250815.5183046502
2020-02-01,252342.16302716918
2020-03-01,253930.34628607743
2020-04-01,255290.2304764697
2020-05-01,256055.68576594084
2020-06-01,256486.60897617057
2020-07-01,257177.79676835658
2020-08-01,258834.19673804077
2020-09-01,261679.0673220846
2020-10-01,265154.0832866185
2020-11-01,269084.20100096235
2020-12-01,272914.5841610793
2021-01-01,276598.5306732108
2021-02-01,280364.3018235892
2021-03-01,284295.0524915723
2021-04-01,288594.03573451267
2021-05-01,293363.14982234157
2021-06-01,298492.20429825695
2021-07-01,303096.1031888965
2021-08-01,306367.8421489867
2021-09-01,308364.7084696454
2021-10-01,310321.8774211378
2021-11-01,312975.15713464195
2021-12-01,316245.14671864075
